area_type,availability,location,size,society,total_sqft,bath,room,price
Super built-up Area,Sale,"Costa del Este,Juan Díaz",4 Bedroom,THE REGENT COUNTRY CLUB,1033,2,2,280000
Built-up Area,Sale,"Costa del Este,Juan Díaz",3 BHK,MAREA II,7728,4,4,2221700
Plot Area,Sale,"Costa del Este,Juan Díaz",2 BHK,MAREA II,7728,4,4,2206700
Super built-up Area,Sale,"Costa del Este,Juan Díaz",4 Bedroom,MAREA II,7728,4,4,2191700
Built-up Area,Sale,"Costa del Este,Juan Díaz",3 BHK,MAREA I,7319,4,4,2000000
Plot Area,Sale,"Costa del Este,Juan Díaz",2 BHK,PALMERAS DEL ESTE,3961,3,3,889000
Super built-up Area,Sale,"Costa del Este,Juan Díaz",4 Bedroom,ACQUA I,3498,3,3,915000
Built-up Area,Sale,"Costa del Este,Juan Díaz",3 BHK,MAREA II,12325,4,4,2389000
Plot Area,Sale,"Costa del Este,Juan Díaz",2 BHK,ACQUA I,3498,3,3,1040000
Super built-up Area,Sale,"Costa del Este,Juan Díaz",4 Bedroom,TOP TOWERS,1281,2,2,245000
Built-up Area,Sale,"Costa del Este,Juan Díaz",3 BHK,TITANIUM,2400,3,3,550000
Plot Area,Sale,"Costa del Este,Juan Díaz",2 BHK,PARQUE DEL MAR I,2174,3,3,470000
Super built-up Area,Sale,"Costa del Este,Parque Lefevre",4 Bedroom,MAGNOLIAS,8686,4,4,1595000
Built-up Area,Sale,"Costa del Este,Juan Díaz",3 BHK,COSTA VIEW,1765,2,3,285000
Plot Area,Sale,"Costa del Este,Juan Díaz",2 BHK,MURANO,3477,3,3,790000
Super built-up Area,Rental,"Costa del Este,Juan Díaz",4 Bedroom,COSTA DE LAS PERLAS,6243,4,4,1400000
Built-up Area,Sale,"Costa del Este,Juan Díaz",3 BHK,TOP TOWERS,1216,2,2,270000
Plot Area,Sale,"Costa del Este,Juan Díaz",2 BHK,MAGNOLIAS,11840,5,4,2500000
Super built-up Area,Rental,"Costa del Este,Juan Díaz",4 Bedroom,COSTA AZUL,5027,4,4,1300000
Built-up Area,Sale,"Costa del Este,Juan Díaz",3 BHK,BEGONIAS,6135,4,4,1500000
Plot Area,Sale,"Costa del Este,Juan Díaz",2 BHK,BALMORAL,8643,5,4,2450000
Super built-up Area,Rental,"Costa del Este,Juan Díaz",4 Bedroom,VERTIKAL,1851,3,3,400000
Built-up Area,Sale,"Costa del Este,Juan Díaz",3 BHK,TITANIUM,4026,3,3,950000
Plot Area,Sale,"Costa del Este,Juan Díaz",2 BHK,ACQUA II,3714,3,3,1100000
Super built-up Area,Sale,"Costa del Este,Juan Díaz",4 Bedroom,BREEZE,2336,3,3,510000
Built-up Area,Sale,"Costa del Este,Juan Díaz",3 BHK,SOL DEL ESTE TORRE 1,1582,3,3,310000
Plot Area,Sale,"Costa del Este,Juan Díaz",2 BHK,SEVILLA,1668,2,3,310000
Super built-up Area,Sale,"Costa del Este,Juan Díaz",4 Bedroom,MAGNOLIAS,12917,5,5,3825000
Built-up Area,Sale,"Costa del Este,Juan Díaz",3 BHK,PALMERAS DEL ESTE,4069,3,4,1075000
Plot Area,Sale,"Costa del Este,Juan Díaz",2 BHK,PEARL AT THE SEA,3143,3,3,760000
Super built-up Area,Sale,"Costa del Este,Juan Díaz",4 Bedroom,BREEZE,2336,3,3,520000
Built-up Area,Sale,"Costa del Este,Juan Díaz",3 BHK,ELEVATION,1991,3,3,400000
Plot Area,Sale,"Costa del Este,Juan Díaz",2 BHK,COSTA DEL ESTE COUNTRY CLUB T100,2196,3,3,470000
Super built-up Area,Sale,"Costa del Este,Juan Díaz",4 Bedroom,SOL DEL ESTE TORRE 2,1582,3,3,310000
